"Article","Number of tweets","Number of tweets(in thousands)","Date"
"blood","2566","3","04/26/2020"
"united","2565","3","04/26/2020"
"including","2561","3","04/26/2020"
"un","2555","3","04/26/2020"
"spreading","2553","3","04/26/2020"
"despite","2552","3","04/26/2020"
"women","2545","3","04/26/2020"
"talking","2543","3","04/26/2020"
"dangerous","2540","3","04/26/2020"
"00","2534","3","04/26/2020"
"500","2533","3","04/26/2020"
"essential","2529","3","04/26/2020"
"almost","2523","3","04/26/2020"
"ask","2523","3","04/26/2020"
"ki","2522","3","04/26/2020"
"black","2519","3","04/26/2020"
"canada","2518","3","04/26/2020"
"ramadan","2508","3","04/26/2020"
"political","2500","3","04/26/2020"
"expert","2491","3","04/26/2020"
"all","2486","3","04/26/2020"
"leader","2483","3","04/26/2020"
"que","2483","3","04/26/2020"
"staysafe","2480","3","04/26/2020"
"body","2474","3","04/26/2020"
"23","2471","3","04/26/2020"
"aquí","2466","3","04/26/2020"
"ça","2464","3","04/26/2020"
"listen","2453","3","04/26/2020"
"lies","2452","3","04/26/2020"
"remember","2449","3","04/26/2020"
"three","2448","3","04/26/2020"
"domingo","2444","3","04/26/2020"
"2019","2443","3","04/26/2020"
"at","2435","3","04/26/2020"
"taken","2435","3","04/26/2020"
"ny","2430","3","04/26/2020"
"calls","2429","3","04/26/2020"
"mal","2426","3","04/26/2020"
"caused","2418","3","04/26/2020"
"federal","2416","3","04/26/2020"
"sense","2414","3","04/26/2020"
"argentina","2414","3","04/26/2020"
"else","2411","3","04/26/2020"
"given","2410","3","04/26/2020"
"spain","2403","3","04/26/2020"
"living","2401","3","04/26/2020"
"learn","2399","3","04/26/2020"
"ils","2398","3","04/26/2020"
"médicos","2394","3","04/26/2020"
"oms","2391","3","04/26/2020"
"treat","2390","3","04/26/2020"
"download","2388","3","04/26/2020"
"run","2387","3","04/26/2020"
"past","2386","3","04/26/2020"
"worth","2381","3","04/26/2020"
"nytimes","2380","3","04/26/2020"
"wait","2378","3","04/26/2020"
"trust","2373","3","04/26/2020"
"22","2368","3","04/26/2020"
"guy","2367","3","04/26/2020"
"officials","2365","3","04/26/2020"
"services","2361","3","04/26/2020"
"foxnews","2360","3","04/26/2020"
"sad","2358","3","04/26/2020"
"scientists","2354","3","04/26/2020"
"tech","2353","3","04/26/2020"
"nuevo","2353","3","04/26/2020"
"80","2351","3","04/26/2020"
"instead","2343","3","04/26/2020"
"leadership","2340","3","04/26/2020"
"untuk","2336","3","04/26/2020"
"spoke","2334","3","04/26/2020"
"wo","2332","3","04/26/2020"
"thread","2330","3","04/26/2020"
"bible","2330","3","04/26/2020"
"hands","2329","3","04/26/2020"
"wants","2327","3","04/26/2020"
"list","2325","3","04/26/2020"
"infections","2319","3","04/26/2020"
"mejor","2317","3","04/26/2020"
"according","2312","3","04/26/2020"
"close","2312","3","04/26/2020"
"donate","2311","3","04/26/2020"
"hey","2308","3","04/26/2020"
"advice","2308","3","04/26/2020"
"allah","2304","3","04/26/2020"
"action","2302","3","04/26/2020"
"wow","2296","3","04/26/2020"
"17","2295","3","04/26/2020"
"fucking","2295","3","04/26/2020"
"set","2289","3","04/26/2020"
"er","2289","3","04/26/2020"
"crise","2286","3","04/26/2020"
"ways","2286","3","04/26/2020"
"count","2284","3","04/26/2020"
"thousands","2284","3","04/26/2020"
"means","2280","3","04/26/2020"
"reporting","2277","3","04/26/2020"
"age","2276","3","04/26/2020"
"message","2275","3","04/26/2020"
"isolation","2274","3","04/26/2020"
"sars","2273","3","04/26/2020"
"dice","2271","3","04/26/2020"
"happy","2270","3","04/26/2020"
"shut","2270","3","04/26/2020"
"among","2270","3","04/26/2020"
"vote","2264","3","04/26/2020"
"able","2263","3","04/26/2020"
"ist","2260","3","04/26/2020"
"rest","2259","3","04/26/2020"
"probably","2258","3","04/26/2020"
"contre","2257","3","04/26/2020"
"rise","2255","3","04/26/2020"
"bu","2251","3","04/26/2020"
"pra","2248","3","04/26/2020"
"outside","2246","3","04/26/2020"
"started","2245","3","04/26/2020"
"facts","2244","3","04/26/2020"
"novel","2234","3","04/26/2020"
"tem","2234","3","04/26/2020"
"contagios","2229","3","04/26/2020"
"official","2229","3","04/26/2020"
"following","2228","3","04/26/2020"
"efforts","2226","3","04/26/2020"
"extra","2224","3","04/26/2020"
"covid2019","2223","3","04/26/2020"
"low","2222","3","04/26/2020"
"current","2222","3","04/26/2020"
"healthy","2208","3","04/26/2020"
"killed","2207","3","04/26/2020"
"law","2203","3","04/26/2020"
"número","2202","3","04/26/2020"
"lol","2200","3","04/26/2020"
"power","2199","3","04/26/2020"
"line","2191","3","04/26/2020"
"21","2187","3","04/26/2020"
"tax","2187","3","04/26/2020"
"giving","2172","3","04/26/2020"
"pruebas","2167","3","04/26/2020"
"ok","2167","3","04/26/2020"
"hai","2163","3","04/26/2020"
"came","2162","3","04/26/2020"
"birx","2161","3","04/26/2020"
"account","2160","3","04/26/2020"
"bring","2158","3","04/26/2020"
"horas","2158","3","04/26/2020"
"handling","2158","3","04/26/2020"
"needed","2156","3","04/26/2020"
"serious","2155","3","04/26/2020"
"leave","2146","3","04/26/2020"
"cas","2146","3","04/26/2020"
"yg","2143","3","04/26/2020"
"young","2139","3","04/26/2020"
"level","2134","3","04/26/2020"
"mr","2134","3","04/26/2020"
"plasma","2130","3","04/26/2020"
"results","2129","3","04/26/2020"
"zero","2128","3","04/26/2020"
"helping","2113","3","04/26/2020"
"released","2110","3","04/26/2020"
"16","2109","3","04/26/2020"
"dies","2101","3","04/26/2020"
"immune","2101","3","04/26/2020"
"नह","2099","3","04/26/2020"
"provide","2099","3","04/26/2020"
"ready","2098","3","04/26/2020"
"blame","2098","3","04/26/2020"
"act","2098","3","04/26/2020"
"pandemi","2096","3","04/26/2020"
"financial","2092","3","04/26/2020"
"positivos","2092","3","04/26/2020"
"that","2088","3","04/26/2020"
"socialdistancing","2085","3","04/26/2020"
"though","2080","3","04/26/2020"
"gets","2078","3","04/26/2020"
"happen","2075","3","04/26/2020"
"plans","2075","3","04/26/2020"
"play","2075","3","04/26/2020"
"common","2072","3","04/26/2020"
"tan","2067","3","04/26/2020"
"companies","2066","3","04/26/2020"
"reopening","2066","3","04/26/2020"
"ont","2065","3","04/26/2020"
"datos","2064","3","04/26/2020"
"head","2063","3","04/26/2020"
"ke","2061","3","04/26/2020"
"members","2057","3","04/26/2020"
"nicht","2055","3","04/26/2020"
"deadly","2055","3","04/26/2020"
"especially","2054","3","04/26/2020"
"moment","2050","3","04/26/2020"
"affected","2048","3","04/26/2020"
"den","2048","3","04/26/2020"
"records","2047","3","04/26/2020"
"vaccines","2046","3","04/26/2020"
"created","2043","3","04/26/2020"
"después","2043","3","04/26/2020"
"name","2043","3","04/26/2020"
"mit","2042","3","04/26/2020"
"comments","2041","3","04/26/2020"
"fall","2038","3","04/26/2020"
"strategy","2038","3","04/26/2020"
"course","2037","3","04/26/2020"
"woman","2034","3","04/26/2020"
"rules","2033","3","04/26/2020"
"coronavirusoutbreak","2029","3","04/26/2020"
"worst","2024","3","04/26/2020"
"54","2023","3","04/26/2020"
"west","2021","3","04/26/2020"
"kita","2014","3","04/26/2020"
"vamos","2013","3","04/26/2020"
"source","2012","3","04/26/2020"
"mental","2010","3","04/26/2020"
"fase","2009","3","04/26/2020"
"ppl","2008","3","04/26/2020"
"jobs","2007","3","04/26/2020"
"available","2002","3","04/26/2020"
"looks","1999","2","04/26/2020"
"im","1998","2","04/26/2020"
"task","1997","2","04/26/2020"
"deal","1994","2","04/26/2020"
"safety","1993","2","04/26/2020"
"28","1983","2","04/26/2020"
"morning","1983","2","04/26/2020"
"wonder","1982","2","04/26/2020"
"history","1978","2","04/26/2020"
"took","1977","2","04/26/2020"
"discharged","1977","2","04/26/2020"
"clear","1975","2","04/26/2020"
"orders","1971","2","04/26/2020"
"front","1969","2","04/26/2020"
"parte","1967","2","04/26/2020"
"florida","1964","2","04/26/2020"
"comment","1963","2","04/26/2020"
"pakistan","1962","2","04/26/2020"
"ycpcovidiots","1959","2","04/26/2020"
"vs","1951","2","04/26/2020"
"vulnerable","1949","2","04/26/2020"
"lead","1948","2","04/26/2020"
"general","1937","2","04/26/2020"
"thinking","1937","2","04/26/2020"
"move","1937","2","04/26/2020"
"highest","1936","2","04/26/2020"
"amazing","1935","2","04/26/2020"
"key","1932","2","04/26/2020"
"went","1929","2","04/26/2020"
"warns","1928","2","04/26/2020"
"bank","1928","2","04/26/2020"
"demand","1927","2","04/26/2020"
"allowed","1925","2","04/26/2020"
"cash","1925","2","04/26/2020"
"aux","1924","2","04/26/2020"
"comes","1924","2","04/26/2020"
"issues","1923","2","04/26/2020"
"are","1923","2","04/26/2020"
"indian","1922","2","04/26/2020"
"they","1918","2","04/26/2020"
"office","1912","2","04/26/2020"
"google","1908","2","04/26/2020"
"wave","1907","2","04/26/2020"
"heard","1903","2","04/26/2020"
"agree","1902","2","04/26/2020"
"killing","1900","2","04/26/2020"
"education","1898","2","04/26/2020"
"san","1896","2","04/26/2020"
"trial","1896","2","04/26/2020"
"contagiados","1893","2","04/26/2020"
"huge","1892","2","04/26/2020"
"mass","1892","2","04/26/2020"
"mayo","1887","2","04/26/2020"
"not","1880","2","04/26/2020"
"visit","1879","2","04/26/2020"
"kind","1877","2","04/26/2020"
"schools","1875","2","04/26/2020"
"politics","1870","2","04/26/2020"
"send","1868","2","04/26/2020"
"technology","1867","2","04/26/2020"
"critical","1863","2","04/26/2020"
"masques","1863","2","04/26/2020"
"5g","1862","2","04/26/2020"
"allow","1860","2","04/26/2020"
"reality","1860","2","04/26/2020"
"till","1859","2","04/26/2020"
"europe","1857","2","04/26/2020"
"dengan","1853","2","04/26/2020"
"ones","1851","2","04/26/2020"
"single","1850","2","04/26/2020"
"della","1849","2","04/26/2020"
"happening","1848","2","04/26/2020"
"zu","1847","2","04/26/2020"
"tener","1846","2","04/26/2020"
"yesterday","1845","2","04/26/2020"
"tom","1843","2","04/26/2020"
"lockdowns","1840","2","04/26/2020"
"sent","1838","2","04/26/2020"
"lab","1838","2","04/26/2020"
"delhi","1836","2","04/26/2020"
"antibody","1836","2","04/26/2020"
"paid","1831","2","04/26/2020"
"matter","1831","2","04/26/2020"
"dia","1831","2","04/26/2020"
"hand","1827","2","04/26/2020"
"active","1826","2","04/26/2020"
"300","1825","2","04/26/2020"
"venezuela","1824","2","04/26/2020"
"digital","1820","2","04/26/2020"
"tiempo","1819","2","04/26/2020"
"knew","1816","2","04/26/2020"
"seriously","1810","2","04/26/2020"
"residents","1808","2","04/26/2020"
"industry","1807","2","04/26/2020"
"sono","1807","2","04/26/2020"
"indiafightscorona","1804","2","04/26/2020"
"calling","1804","2","04/26/2020"
"hell","1804","2","04/26/2020"
"ease","1801","2","04/26/2020"
"être","1801","2","04/26/2020"
"fait","1799","2","04/26/2020"
"semana","1797","2","04/26/2020"
"guess","1796","2","04/26/2020"
"claims","1794","2","04/26/2020"
"tras","1794","2","04/26/2020"
"guys","1794","2","04/26/2020"
"trabajo","1792","2","04/26/2020"
"prevent","1792","2","04/26/2020"
"up","1792","2","04/26/2020"
"korea","1790","2","04/26/2020"
"iran","1790","2","04/26/2020"
"campaign","1787","2","04/26/2020"
"worldwide","1785","2","04/26/2020"
"goes","1783","2","04/26/2020"
"países","1780","2","04/26/2020"
"op","1780","2","04/26/2020"
"university","1777","2","04/26/2020"
"irresponsables","1777","2","04/26/2020"
"confinamiento","1777","2","04/26/2020"
"fund","1776","2","04/26/2020"
"click","1775","2","04/26/2020"
"favor","1775","2","04/26/2020"
"happened","1775","2","04/26/2020"
"von","1775","2","04/26/2020"
"threat","1773","2","04/26/2020"
"late","1770","2","04/26/2020"
"als","1770","2","04/26/2020"
"noticias","1768","2","04/26/2020"
"dear","1766","2","04/26/2020"
"morts","1763","2","04/26/2020"
"nearly","1763","2","04/26/2020"
"contagio","1762","2","04/26/2020"
"car","1758","2","04/26/2020"
"employees","1756","2","04/26/2020"
"frontline","1756","2","04/26/2020"
"special","1754","2","04/26/2020"
"netflix","1750","2","04/26/2020"
"pessoas","1750","2","04/26/2020"
"effective","1745","2","04/26/2020"
"situación","1743","2","04/26/2020"
"telling","1739","2","04/26/2020"
"indonesia","1736","2","04/26/2020"
"administration","1735","2","04/26/2020"
"ir","1735","2","04/26/2020"
"gon","1734","2","04/26/2020"
"running","1734","2","04/26/2020"
"date","1732","2","04/26/2020"
"lie","1731","2","04/26/2020"
"infectados","1731","2","04/26/2020"
"russia","1729","2","04/26/2020"
"asked","1728","2","04/26/2020"
"israel","1728","2","04/26/2020"
"actual","1727","2","04/26/2020"
"wife","1727","2","04/26/2020"
"issue","1726","2","04/26/2020"
"wearing","1724","2","04/26/2020"
"words","1724","2","04/26/2020"
"near","1722","2","04/26/2020"
"millones","1721","2","04/26/2020"
"positivo","1720","2","04/26/2020"
"peor","1719","2","04/26/2020"
"sorry","1719","2","04/26/2020"
"casi","1718","2","04/26/2020"
"கள","1717","2","04/26/2020"
"facebook","1715","2","04/26/2020"
"mannkibaat","1715","2","04/26/2020"
"disinfectants","1709","2","04/26/2020"
"responsible","1709","2","04/26/2020"
"security","1709","2","04/26/2020"
"faire","1705","2","04/26/2020"
"potential","1704","2","04/26/2020"
"hold","1704","2","04/26/2020"
"imagine","1704","2","04/26/2020"
"mind","1700","2","04/26/2020"
"chief","1700","2","04/26/2020"
"buy","1700","2","04/26/2020"
"coronavirus","","",""
"covid","","",""
"19","","",""
"covid19","","",""
"nan","","",""
"people","","",""
"amp","","",""
"trump","","",""
"via","","",""
"cases","","",""
"us","","",""
"new","","",""
"pandemic","","",""
"virus","","",""
"china","","",""
"one","","",""
"deaths","","",""
"world","","",""
"news","","",""
"like","","",""
"get","","",""
"home","","",""
"lockdown","","",""
"covid_19","","",""
"realdonaldtrump","","",""
"000","","",""
"health","","",""
"time","","",""
"di","","",""
"help","","",""
"crisis","","",""
"death","","",""
"si","","",""
"would","","",""
"need","","",""
"know","","",""
"et","","",""
"il","","",""
"government","","",""
"please","","",""
"2020","","",""
"see","","",""
"may","","",""
"go","","",""
"testing","","",""
"could","","",""
"many","","",""
"des","","",""
"die","","",""
"stay","","",""
"good","","",""
"country","","",""
"still","","",""
"corona","","",""
"casos","","",""
"state","","",""
"even","","",""
"da","","",""
"18","","",""
"workers","","",""
"make","","",""
"per","","",""
"day","","",""
"says","","",""
"test","","",""
"going","","",""
"india","","",""
"total","","",""
"work","","",""
"right","","",""
"the","","",""
"est","","",""
"du","","",""
"live","","",""
"positive","","",""
"care","","",""
"think","","",""
"due","","",""
"na","","",""
"let","","",""
"spread","","",""
"patients","","",""
"take","","",""
"fight","","",""
"uk","","",""
"want","","",""
"support","","",""
"social","","",""
"well","","",""
"20","","",""
"president","","",""
"re","","",""
"back","","",""
"say","","",""
"today","","",""
"also","","",""
"first","","",""
"times","","",""
"said","","",""
"pour","","",""
"10","","",""
"wuhan","","",""
"died","","",""
"way","","",""
"much","","",""
"hospital","","",""
"tests","","",""
"april","","",""
"really","","",""
"states","","",""
"stop","","",""
"pandemia","","",""
"read","","",""
"outbreak","","",""
"youtube","","",""
"america","","",""
"must","","",""
"response","","",""
"man","","",""
"dr","","",""
"pas","","",""
"together","","",""
"thank","","",""
"great","","",""
"lives","","",""
"life","","",""
"come","","",""
"every","","",""
"daily","","",""
"days","","",""
"public","","",""
"stayhome","","",""
"made","","",""
"keep","","",""
"non","","",""
"number","","",""
"hope","","",""
"global","","",""
"million","","",""
"em","","",""
"au","","",""
"americans","","",""
"gobierno","","",""
"year","","",""
"to","","",""
"family","","",""
"vaccine","","",""
"usa","","",""
"true","","",""
"got","","",""
"money","","",""
"real","","",""
"last","","",""
"face","","",""
"never","","",""
"chinese","","",""
"medical","","",""
"data","","",""
"media","","",""
"flu","","",""
"latest","","",""
"thanks","","",""
"video","","",""
"vía","","",""
"everyone","","",""
"dan","","",""
"economy","","",""
"safe","","",""
"god","","",""
"une","","",""
"watch","","",""
"amid","","",""
"check","","",""
"com","","",""
"app","","",""
"look","","",""
"tested","","",""
"toll","","",""
"24","","",""
"another","","",""
"open","","",""
"florida","","",""
"update","","",""
"post","","",""
"without","","",""
"confirmed","","",""
"article","","",""
"business","","",""
"free","","",""
"use","","",""
"ser","","",""
"salud","","",""
"week","","",""
"mundo","","",""
"staff","","",""
"since","","",""
"better","","",""
"countries","","",""
"show","","",""
"gt","","",""
"togetherathome","","",""
"two","","",""
"twitter","","",""
"long","","",""
"weeks","","",""
"sur","","",""
"ca","","",""
"quarantine","","",""
"case","","",""
"qui","","",""
"far","","",""
"end","","",""
"risk","","",""
"não","","",""
"food","","",""
"15","","",""
"rate","","",""
"getting","","",""
"mais","","",""
"others","","",""
"masks","","",""
"dans","","",""
"give","","",""
"love","","",""
"in","","",""
"lab","","",""
"working","","",""
"ppe","","",""
"17","","",""
"distancing","","",""
"plus","","",""
"york","","",""
"govt","","",""
"done","","",""
"call","","",""
"needs","","",""
"ne","","",""
"around","","",""
"disease","","",""
"numbers","","",""
"thing","","",""
"next","","",""
"país","","",""
"30","","",""
"casa","","",""
"ce","","",""
"che","","",""
"100","","",""
"best","","",""
"va","","",""
"doctors","","",""
"cuarentena","","",""
"yet","","",""
"infected","","",""
"personas","","",""
"already","","",""
"nothing","","",""
"gente","","",""
"put","","",""
"nhs","","",""
"job","","",""
"and","","",""
"kyari","","",""
"updates","","",""
"part","","",""
"anyone","","",""
"españa","","",""
"story","","",""
"reported","","",""
"dead","","",""
"ve","","",""
"report","","",""
"big","","",""
"nigeria","","",""
"50","","",""
"par","","",""
"away","","",""
"um","","",""
"je","","",""
"american","","",""
"covidー19","","",""
"plan","","",""
"believe","","",""
"bad","","",""
"sure","","",""
"old","","",""
"12","","",""
"find","","",""
"enough","","",""
"coronaviruspandemic","","",""
"top","","",""
"solo","","",""
"france","","",""
"recovered","","",""
"abba","","",""
"things","","",""
"online","","",""
"years","","",""
"yes","","",""
"hoy","","",""
"of","","",""
"something","","",""
"high","","",""
"person","","",""
"save","","",""
"healthcare","","",""
"lost","","",""
"rt","","",""
"trying","","",""
"hospitals","","",""
"reports","","",""
"14","","",""
"human","","",""
"start","","",""
"no","","",""
"south","","",""
"eu","","",""
"control","","",""
"ahora","","",""
"using","","",""
"someone","","",""
"relief","","",""
"de","","",""
"muertos","","",""
"information","","",""
"mask","","",""
"population","","",""
"cause","","",""
"full","","",""
"04","","",""
"sa","","",""
"bien","","",""
"cnn","","",""
"thought","","",""
"it","","",""
"house","","",""
"community","","",""
"police","","",""
"protect","","",""
"experts","","",""
"sick","","",""
"bbc","","",""
"making","","",""
"ever","","",""
"city","","",""
"taking","","",""
"special","","",""
"así","","",""
"national","","",""
"tell","","",""
"situation","","",""
"study","","",""
"this","","",""
"donald","","",""
"small","","",""
"van","","",""
"place","","",""
"important","","",""
"soon","","",""
"bill","","",""
"कर","","",""
"county","","",""
"might","","",""
"fake","","",""
"mas","","",""
"africa","","",""
"always","","",""
"11","","",""
"saying","","",""
"oh","","",""
"symptoms","","",""
"least","","",""
"pay","","",""
"immunity","","",""
"dos","","",""
"yang","","",""
"tv","","",""
"hit","","",""
"fact","","",""
"kill","","",""
"point","","",""
"local","","",""
"confinement","","",""
"coronavírus","","",""
"stayathome","","",""
"día","","",""
"stupid","","",""
"change","","",""
"treatment","","",""
"lot","","",""
"nuevos","","",""
"months","","",""
"infection","","",""
"order","","",""
"hard","","",""
"reopen","","",""
"rest","","",""
"restrictions","","",""
"muertes","","",""
"early","","",""
"shit","","",""
"gov","","",""
"pm","","",""
"across","","",""
"share","","",""
"less","","",""
"month","","",""
"follow","","",""
"system","","",""
"coming","","",""
"everything","","",""
"anything","","",""
"feel","","",""
"13","","",""
"white","","",""
"actually","","",""
"contact","","",""
"economic","","",""
"nous","","",""
"पर","","",""
"vous","","",""
"der","","",""
"dying","","",""
"governor","","",""
"children","","",""
"is","","",""
"wrong","","",""
"force","","",""
"ago","","",""
"businesses","","",""
"fuck","","",""
"puede","","",""
"we","","",""
"chief","","",""
"link","","",""
"qu","","",""
"homes","","",""
"dies","","",""
"shows","","",""
"hacer","","",""
"evidence","","",""
"continue","","",""
"you","","",""
"ini","","",""
"saturday","","",""
"impact","","",""
"team","","",""
"war","","",""
"presidente","","",""
"sign","","",""
"maybe","","",""
"ai","","",""
"essential","","",""
"medidas","","",""
"thousands","","",""
"possible","","",""
"el","","",""
"millions","","",""
"sad","","",""
"doctor","","",""
"at","","",""
"la","","",""
"families","","",""
"little","","",""
"join","","",""
"etc","","",""
"told","","",""
"gop","","",""
"lies","","",""
"cdc","","",""
"ll","","",""
"science","","",""
"truth","","",""
"oms","","",""
"fighting","","",""
"cómo","","",""
"leaders","","",""
"breaking","","",""
"indian","","",""
"canada","","",""
"self","","",""
"fauci","","",""
"normal","","",""
"used","","",""
"caso","","",""
"party","","",""
"avec","","",""
"ver","","",""
"democrats","","",""
"started","","",""
"spreading","","",""
"hace","","",""
"das","","",""
"on","","",""
"officials","","",""
"research","","",""
"rel","","",""
"united","","",""
"16","","",""
"href","","",""
"nofollow","","",""
"infections","","",""
"nation","","",""
"sir","","",""
"minister","","",""
"three","","",""
"quedateencasa","","",""
"tweet","","",""
"fallecidos","","",""
"mil","","",""
"protest","","",""
"all","","",""
"called","","",""
"potus","","",""
"briefing","","",""
"gracias","","",""
"including","","",""
"looking","","",""
"whole","","",""
"for","","",""
"action","","",""
"political","","",""
"measures","","",""
"ou","","",""
"makes","","",""
"left","","",""
"emergency","","",""
"question","","",""
"federal","","",""
"personal","","",""
"und","","",""
"patient","","",""
"yg","","",""
"info","","",""
"blame","","",""
"mean","","",""
"march","","",""
"méxico","","",""
"understand","","",""
"poor","","",""
"25","","",""
"fucking","","",""
"remember","","",""
"friends","","",""
"het","","",""
"sont","","",""
"problem","","",""
"500","","",""
"abril","","",""
"seen","","",""
"black","","",""
"according","","",""
"en","","",""
"रह","","",""
"else","","",""
"pacientes","","",""
"wuhanvirus","","",""
"different","","",""
"body","","",""
"scientists","","",""
"coronavirusoutbreak","","",""
"gates","","",""
"citizens","","",""
"antibody","","",""
"air","","",""
"japan","","",""
"glblctzn","","",""
"efforts","","",""
"likely","","",""
"brasil","","",""
"orders","","",""
"fear","","",""
"california","","",""
"nursing","","",""
"fox","","",""
"menos","","",""
"press","","",""
"increase","","",""
"años","","",""
"thread","","",""
"40","","",""
"protests","","",""
"untuk","","",""
"ask","","",""
"hands","","",""
"power","","",""
"given","","",""
"play","","",""
"seems","","",""
"2019","","",""
"learn","","",""
"group","","",""
"drug","","",""
"close","","",""
"vida","","",""
"run","","",""
"travel","","",""
"uma","","",""
"johnson","","",""
"hours","","",""
"sars","","",""
"lie","","",""
"highest","","",""
"cure","","",""
"helping","","",""
"italy","","",""
"line","","",""
"instead","","",""
"wants","","",""
"staysafe","","",""
"past","","",""
"deadly","","",""
"needed","","",""
"idea","","",""
"wo","","",""
"fund","","",""
"front","","",""
"found","","",""
"reason","","",""
"anti","","",""
"wait","","",""
"single","","",""
"worse","","",""
"happy","","",""
"aquí","","",""
"boris","","",""
"school","","",""
"related","","",""
"21","","",""
"based","","",""
"kids","","",""
"killed","","",""
"knew","","",""
"try","","",""
"और","","",""
"web","","",""
"current","","",""
"contagios","","",""
"took","","",""
"women","","",""
"rules","","",""
"become","","",""
"shut","","",""
"iran","","",""
"foxnews","","",""
"wow","","",""
"novel","","",""
"narendramodi","","",""
"almost","","",""
"talk","","",""
"talking","","",""
"heart","","",""
"service","","",""
"behind","","",""
"governors","","",""
"history","","",""
"hear","","",""
"beaches","","",""
"law","","",""
"sense","","",""
"obama","","",""
"listen","","",""
"nurses","","",""
"act","","",""
"europe","","",""
"future","","",""
"spain","","",""
"interesting","","",""
"leadership","","",""
"safety","","",""
"closed","","",""
"responsible","","",""
"00","","",""
"pruebas","","",""
"ça","","",""
"taken","","",""
"mejor","","",""
"threat","","",""
"means","","",""
"que","","",""
"claims","","",""
"días","","",""
"jobs","","",""
"available","","",""
"ones","","",""
"texas","","",""
"aux","","",""
"san","","",""
"questions","","",""
"23","","",""
"moment","","",""
"facebook","","",""
"cada","","",""
"able","","",""
"hi","","",""
"italia","","",""
"set","","",""
"second","","",""
"tem","","",""
"60","","",""
"ok","","",""
"common","","",""
"release","","",""
"nytimes","","",""
"critical","","",""
"services","","",""
"task","","",""
"funding","","",""
"dangerous","","",""
"low","","",""
"germany","","",""
"came","","",""
"korea","","",""
"tan","","",""
"despite","","",""
"gon","","",""
"información","","",""
"worst","","",""
"rise","","",""
"hey","","",""
"celebrate","","",""
"ccp","","",""
"ready","","",""
"lol","","",""
"gets","","",""
"contre","","",""
"market","","",""
"calls","","",""
"yesterday","","",""
"isolation","","",""
"lead","","",""
"ont","","",""
"hiv","","",""
"that","","",""
"difference","","",""
"confirmados","","",""
"probably","","",""
"guys","","",""
"watching","","",""
"dice","","",""
"wear","","",""
"indiafightscorona","","",""
"caused","","",""
"wonder","","",""
"reporting","","",""
"aid","","",""
"higher","","",""
"buy","","",""
"mal","","",""
"mass","","",""
"members","","",""
"hate","","",""
"rights","","",""
"general","","",""
"ventilators","","",""
"created","","",""
"agree","","",""
"source","","",""
"argentina","","",""
"hold","","",""
"lady","","",""
"sorry","","",""
"5g","","",""
"provide","","",""
"venezuela","","",""
"un","","",""
"ils","","",""
"nuevo","","",""
"looks","","",""
"administration","","",""
"companies","","",""
"though","","",""
"vez","","",""
"pra","","",""
"covid2019","","",""
"cuomo","","",""
"whitehouse","","",""
"datos","","",""
"serious","","",""
"giving","","",""
"especially","","",""
"frente","","",""
"nyc","","",""
"crise","","",""
"allah","","",""
"mr","","",""
"quickly","","",""
"tener","","",""
"hand","","",""
"affected","","",""
"advice","","",""
"name","","",""
"cut","","",""
"ppl","","",""
"killing","","",""
"happen","","",""
"comes","","",""
"mayor","","",""
"course","","",""
"22","","",""
"ke","","",""
"solidarity","","",""
"horas","","",""
"living","","",""
"lack","","",""
"biggest","","",""
"parte","","",""
"message","","",""
"friday","","",""
"maga","","",""
"up","","",""
"false","","",""
"guy","","",""
"leader","","",""
"list","","",""
"hell","","",""
"blood","","",""
"cost","","",""
"students","","",""
"results","","",""
"vote","","",""
"protesters","","",""
"huge","","",""
"released","","",""
"hoax","","",""
"google","","",""
"vulnerable","","",""
"issue","","",""
"facts","","",""
"idiots","","",""
"biden","","",""
"washington","","",""
"kind","","",""
"visit","","",""
"frontline","","",""
"37","","",""
"cas","","",""
"favor","","",""
"trust","","",""
"amazing","","",""
"200","","",""
"happened","","",""
"late","","",""
"happening","","",""
"cover","","",""
"dari","","",""
"contagiados","","",""
"dont","","",""
"night","","",""
"employees","","",""
"australia","","",""
"faire","","",""
"matter","","",""
"della","","",""
"socialdistancing","","",""
"ahead","","",""
"residents","","",""
"catch","","",""
"contagio","","",""
"outside","","",""
"proud","","",""
"mind","","",""
"नह","","",""
"pmoindia","","",""
"reopening","","",""
"battle","","",""
"age","","",""
"international","","",""
"financial","","",""
"went","","",""
"prevent","","",""
"leave","","",""
"thinking","","",""
"absolutely","","",""
"ny","","",""
"donate","","",""
"países","","",""
"pakistan","","",""
"michigan","","",""
"deal","","",""
"demand","","",""
"recovery","","",""
"beach","","",""
"they","","",""
"médicos","","",""
"número","","",""
"wave","","",""
"im","","",""
"official","","",""
"después","","",""
"key","","",""
"kits","","",""
"bring","","",""
"seriously","","",""
"issues","","",""
"virtual","","",""
"ao","","",""
"evitar","","",""
"sunday","","",""
"calling","","",""
"lying","","",""
"quédateencasa","","",""
"noticias","","",""
"millones","","",""
"among","","",""
"industry","","",""
"comment","","",""
"music","","",""
"peace","","",""
"model","","",""
"within","","",""
"pueblo","","",""
"politics","","",""
"sent","","",""
"victims","","",""
"protective","","",""
"ist","","",""
"burial","","",""
"wearing","","",""
"answer","","",""
